Chr Start End Length Strand_Up Gene_Up Strand_Down Gene_Down
ENSG00000133226 1 24999759 25071847 72089 1 ENSG00000133226 1 ENSG00000169504
ENSG00000169504 1 25170816 25549169 378354 1 ENSG00000169504 -1 ENSG00000117614
ENSG00000117614 1 25558994 25568727 9734 -1 ENSG00000117614 -1 ENSG00000117616
ENSG00000117616 1 25664705 25664407 -297 -1 ENSG00000117616 1 ENSG00000183726
ENSG00000183726 1 25688853 25757387 68535 1 ENSG00000183726 1 ENSG00000204178
ENSG00000204178 1 25826701 25870070 43370 1 ENSG00000204178 1 ENSG00000157978
ENSG00000157978 1 25895378 26145130 249753 1 ENSG00000157978 1 ENSG00000117640
ENSG00000117640 1 26159433 26158413 -1019 1 ENSG00000117640 -1 ENSG00000127423
ENSG00000127423 1 26185904 26187700 1797 -1 ENSG00000127423 -1 ENSG00000182749
ENSG00000182749 1 26197745 26210671 12927 -1 ENSG00000182749 -1 ENSG00000117632
ENSG00000117632 1 26233483 26286257 52775 -1 ENSG00000117632 -1 ENSG00000158006
ENSG00000158006 1 26324649 26437663 113015 -1 ENSG00000158006 1 ENSG00000175087
ENSG00000175087 1 26452035 26496361 44327 1 ENSG00000175087 1 ENSG00000142684
ENSG00000142684 1 26498552 26503893 5342 1 ENSG00000142684 1 ENSG00000142675
ENSG00000142675 1 26516378 26560690 44313 1 ENSG00000142675 1 ENSG00000130695
ENSG00000130695 1 26605300 26605666 367 1 ENSG00000130695 1 ENSG00000142669
ENSG00000142669 1 26608008 26607818 -189 1 ENSG00000142669 -1 ENSG00000158062
ENSG00000158062 1 26644855 26758772 113918 -1 ENSG00000158062 1 ENSG00000117682
ENSG00000117682 1 26797786 26798940 1155 1 ENSG00000117682 1 ENSG00000198830
ENSG00000198830 1 26802464 26856251 53788 1 ENSG00000198830 1 ENSG00000117676
ENSG00000117676 1 26901522 27022523 121002 1 ENSG00000117676 1 ENSG00000117713
ENSG00000117713 1 27108596 27113962 5367 1 ENSG00000117713 1 ENSG00000060642
ENSG00000060642 1 27124890 27153200 28311 1 ENSG00000060642 1 ENSG00000204160
ENSG00000204160 1 27184094 27189632 5539 1 ENSG00000204160 1 ENSG00000175793
ENSG00000175793 1 27190948 27202623 11676 1 ENSG00000175793 -1 ENSG00000142751
ENSG00000142751 1 27216789 27216978 190 -1 ENSG00000142751 -1 ENSG00000198746
ENSG00000198746 1 27226958 27226728 -229 -1 ENSG00000198746 1 ENSG00000090273
ENSG00000090273 1 27273354 27561006 287653 1 ENSG00000090273 1 ENSG00000142784
ENSG00000142784 1 27635111 27648650 13540 1 ENSG00000142784 1 ENSG00000186501
ENSG00000186501 1 27662892 27730729 67838 1 ENSG00000186501 -1 ENSG00000158195
ENSG00000158195 1 27816670 27992571 175902 -1 ENSG00000158195 -1 ENSG00000126709
ENSG00000126709 1 27998730 28052489 53760 -1 ENSG00000126709 1 ENSG00000009780
ENSG00000009780 1 28089634 28099693 10060 1 ENSG00000009780 1 ENSG00000117758
ENSG00000117758 1 28150964 28157288 6325 1 ENSG00000117758 1 ENSG00000117751
ENSG00000117751 1 28178188 28218034 39847 1 ENSG00000117751 -1 ENSG00000117748
ENSG00000117748 1 28241258 28261503 20246 -1 ENSG00000117748 1 ENSG00000130768
ENSG00000130768 1 28285669 28296854 11186 1 ENSG00000130768 -1 ENSG00000158161
ENSG00000158161 1 28415208 28525966 110759 -1 ENSG00000158161 -1 ENSG00000126698
ENSG00000126698 1 28559537 28562619 3083 -1 ENSG00000126698 1 ENSG00000130770
ENSG00000130770 1 28573418 28586037 12620 1 ENSG00000130770 1 ENSG00000130766
ENSG00000130766 1 28609003 28655512 46510 1 ENSG00000130766 1 ENSG00000130772
ENSG00000130772 1 28662477 28696113 33637 1 ENSG00000130772 1 ENSG00000204138
ENSG00000204138 1 28826882 28832454 5573 1 ENSG00000204138 1 ENSG00000180198
ENSG00000180198 1 28865813 28879596 13784 1 ENSG00000180198 1 ENSG00000180098
ENSG00000180098 1 28905052 28915834 10783 1 ENSG00000180098 -1 ENSG00000120656
ENSG00000120656 1 28969598 28995243 25646 -1 ENSG00000120656 1 ENSG00000162419
ENSG00000162419 1 29045866 29063132 17267 1 ENSG00000162419 1 ENSG00000198492
ENSG00000198492 1 29096288 29213602 117315 1 ENSG00000198492 1 ENSG00000159023
ENSG00000159023 1 29446554 29474254 27701 1 ENSG00000159023 -1 ENSG00000116350
ENSG00000116350 1 29508500 29519384 10885 -1 ENSG00000116350 -1 ENSG00000116353
ENSG00000116353 1 29557455 29563027 5573 -1 ENSG00000116353 1 ENSG00000060656
ENSG00000060656 1 29653326 31404352 1751027 1 ENSG00000060656 -1 ENSG00000134644
ENSG00000134644 1 31538839 31732416 193578 -1 ENSG00000134644 -1 ENSG00000060688
ENSG00000060688 1 31769663 31769841 179 -1 ENSG00000060688 1 ENSG00000121766
ENSG00000121766 1 31837784 31838471 688 1 ENSG00000121766 -1 ENSG00000121769
ENSG00000121769 1 31849698 32042115 192418 -1 ENSG00000121769 1 ENSG00000142910
ENSG00000142910 1 32053289 32095462 42174 1 ENSG00000142910 -1 ENSG00000162517
ENSG00000162517 1 32110498 32372021 261524 -1 ENSG00000162517 -1 ENSG00000184007
ENSG00000184007 1 32410458 32479429 68972 -1 ENSG00000184007 1 ENSG00000121774
ENSG00000121774 1 32526452 32537631 11180 1 ENSG00000121774 1 ENSG00000121775
ENSG00000121775 1 32568468 32573638 5171 1 ENSG00000121775 1 ENSG00000025800
ENSG00000025800 1 32642170 32645286 3117 1 ENSG00000025800 1 ENSG00000084652
ENSG00000084652 1 32663887 32671235 7349 1 ENSG00000084652 1 ENSG00000160051
ENSG00000160051 1 32674289 32687528 13240 1 ENSG00000160051 1 ENSG00000084623
ENSG00000084623 1 32697206 32757686 60481 1 ENSG00000084623 1 ENSG00000116478
ENSG00000116478 1 32799237 32799432 196 1 ENSG00000116478 -1 ENSG00000175130
ENSG00000175130 1 32801981 32817121 15141 -1 ENSG00000175130 1 ENSG00000162526
ENSG00000162526 1 32829914 32830703 790 1 ENSG00000162526 -1 ENSG00000160058
ENSG00000160058 1 32860333 33005027 144695 -1 ENSG00000160058 1 ENSG00000160062
ENSG00000160062 1 33071541 33065772 -5768 1 ENSG00000160062 -1 ENSG00000176261
ENSG00000176261 1 33116505 33116742 238 -1 ENSG00000176261 1 ENSG00000162521
ENSG00000162521 1 33151813 33145506 -6306 1 ENSG00000162521 -1 ENSG00000162520
ENSG00000162520 1 33169198 33207485 38288 -1 ENSG00000162520 1 ENSG00000162522
ENSG00000162522 1 33240572 33240839 268 1 ENSG00000162522 -1 ENSG00000134684
ENSG00000134684 1 33283755 33282367 -1387 -1 ENSG00000134684 1 ENSG00000116497
ENSG00000116497 1 33324477 33360194 35718 1 ENSG00000116497 -1 ENSG00000121900
ENSG00000121900 1 33367040 33402045 35006 -1 ENSG00000121900 -1 ENSG00000116514
ENSG00000116514 1 33430287 33439267 8981 -1 ENSG00000116514 1 ENSG00000267885
ENSG00000267885 1 33439643 33473584 33942 1 ENSG00000267885 -1 ENSG00000004455
ENSG00000004455 1 33546598 33789223 242626 -1 ENSG00000004455 -1 ENSG00000134686
ENSG00000134686 1 33896654 35178337 1281684 -1 ENSG00000134686 -1 ENSG00000163866
ENSG00000163866 1 35325418 35449522 124105 -1 ENSG00000163866 -1 ENSG00000163867
ENSG00000163867 1 35497570 35525386 27817 -1 ENSG00000163867 1 ENSG00000197056
ENSG00000197056 1 35581461 35641978 60518 1 ENSG00000197056 -1 ENSG00000116560
ENSG00000116560 1 35658750 35734567 75818 -1 ENSG00000116560 1 ENSG00000146463
ENSG00000146463 1 35887660 35899090 11431 1 ENSG00000146463 -1 ENSG00000142687
ENSG00000142687 1 36023552 36023073 -478 -1 ENSG00000142687 1 ENSG00000020129
ENSG00000020129 1 36032876 36067184 34309 1 ENSG00000020129 -1 ENSG00000126067
ENSG00000126067 1 36107446 36179475 72030 -1 ENSG00000126067 -1 ENSG00000142686
ENSG00000142686 1 36185074 36185818 745 -1 ENSG00000142686 -1 ENSG00000092853
ENSG00000092853 1 36235569 36273772 38204 -1 ENSG00000092853 1 ENSG00000134698
ENSG00000134698 1 36323492 36335408 11917 1 ENSG00000134698 1 ENSG00000092847
ENSG00000092847 1 36395212 36396318 1107 1 ENSG00000092847 1 ENSG00000126070
ENSG00000126070 1 36538102 36554475 16374 1 ENSG00000126070 1 ENSG00000116863
ENSG00000116863 1 36559534 36602172 42639 1 ENSG00000116863 -1 ENSG00000054116
ENSG00000054116 1 36615099 36621179 6081 -1 ENSG00000054116 1 ENSG00000116871
ENSG00000116871 1 36646451 36690016 43566 1 ENSG00000116871 1 ENSG00000054118
ENSG00000054118 1 36770959 36805224 34266 1 ENSG00000054118 -1 ENSG00000196182
ENSG00000196182 1 36851498 36856838 5341 -1 ENSG00000196182 -1 ENSG00000181817
ENSG00000181817 1 36863494 36881427 17934 -1 ENSG00000181817 -1 ENSG00000116885
ENSG00000116885 1 36916087 36921318 5232 -1 ENSG00000116885 -1 ENSG00000116898
ENSG00000116898 1 36930039 37940152 1010114 -1 ENSG00000116898 1 ENSG00000163874
ENSG00000163874 1 37949981 37958175 8195 1 ENSG00000163874 -1 ENSG00000163875
ENSG00000163875 1 37980376 38000049 19674 -1 ENSG00000163875 -1 ENSG00000163877
ENSG00000163877 1 38019904 38032416 12513 -1 ENSG00000163877 -1 ENSG00000134697
ENSG00000134697 1 38061537 38076950 15414 -1 ENSG00000134697 -1 ENSG00000169218
ENSG00000169218 1 38100596 38147241 46646 -1 ENSG00000169218 -1 ENSG00000116922
ENSG00000116922 1 38157915 38158089 175 -1 ENSG00000116922 1 ENSG00000134690
ENSG00000134690 1 38175392 38259473 84082 1 ENSG00000134690 1 ENSG00000185090
ENSG00000185090 1 38266810 38268615 1806 1 ENSG00000185090 -1 ENSG00000196449
ENSG00000196449 1 38273858 38272650 -1207 -1 ENSG00000196449 1 ENSG00000197982
ENSG00000197982 1 38275127 38275238 112 1 ENSG00000197982 -1 ENSG00000188786
ENSG00000188786 1 38325293 38326368 1076 -1 ENSG00000188786 -1 ENSG00000204084
ENSG00000204084 1 38412730 38422646 9917 -1 ENSG00000204084 -1 ENSG00000183431
ENSG00000183431 1 38456594 38474929 18336 -1 ENSG00000183431 1 ENSG00000183520
ENSG00000183520 1 38490497 39303869 813373 1 ENSG00000183520 -1 ENSG00000116954
ENSG00000116954 1 39325496 39328635 3140 -1 ENSG00000116954 -1 ENSG00000214114
ENSG00000214114 1 39347290 39456894 109605 -1 ENSG00000214114 1 ENSG00000174574
ENSG00000174574 1 39471732 39491989 20258 1 ENSG00000174574 1 ENSG00000168653
ENSG00000168653 1 39500309 39546987 46679 1 ENSG00000168653 1 ENSG00000127603
ENSG00000127603 1 39952850 40026487 73638 1 ENSG00000127603 -1 ENSG00000090621
ENSG00000090621 1 40042463 40157853 115391 -1 ENSG00000090621 1 ENSG00000084072
ENSG00000084072 1 40229587 40222853 -6733 1 ENSG00000084072 -1 ENSG00000116985
ENSG00000116985 1 40254534 40306722 52189 -1 ENSG00000116985 -1 ENSG00000043514
ENSG00000043514 1 40349184 40505904 156721 -1 ENSG00000043514 1 ENSG00000131236
ENSG00000131236 1 40538322 40538378 57 1 ENSG00000131236 -1 ENSG00000131238
ENSG00000131238 1 40563376 40627044 63669 -1 ENSG00000131238 1 ENSG00000117000
ENSG00000117000 1 40706594 40723778 17185 1 ENSG00000117000 1 ENSG00000084073
ENSG00000084073 1 40759857 40810521 50665 1 ENSG00000084073 1 ENSG00000084070
ENSG00000084070 1 40888999 40974412 85414 1 ENSG00000084070 1 ENSG00000164002
ENSG00000164002 1 40982229 40997232 15004 1 ENSG00000164002 1 ENSG00000117010
ENSG00000117010 1 41013842 41157319 143478 1 ENSG00000117010 1 ENSG00000066136
ENSG00000066136 1 41237276 41445006 207731 1 ENSG00000066136 1 ENSG00000171793
ENSG00000171793 1 41478236 41492871 14636 1 ENSG00000171793 -1 ENSG00000010803
ENSG00000010803 1 41707827 42642209 934383 -1 ENSG00000010803 -1 ENSG00000198815
ENSG00000198815 1 42801549 42921787 120239 -1 ENSG00000198815 1 ENSG00000127125
ENSG00000127125 1 42939057 43124095 185039 1 ENSG00000127125 1 ENSG00000171960
ENSG00000171960 1 43142430 43148097 5668 1 ENSG00000171960 1 ENSG00000065978
ENSG00000065978 1 43168021 43212005 43985 1 ENSG00000065978 -1 ENSG00000117385
ENSG00000117385 1 43232756 43232939 184 -1 ENSG00000117385 1 ENSG00000164008
ENSG00000164008 1 43263969 43272722 8754 1 ENSG00000164008 -1 ENSG00000177868
ENSG00000177868 1 43282955 43282794 -160 -1 ENSG00000177868 1 ENSG00000164010
ENSG00000164010 1 43310661 43312279 1619 1 ENSG00000164010 1 ENSG00000164011
ENSG00000164011 1 43318149 43391051 72903 1 ENSG00000164011 -1 ENSG00000117394
ENSG00000117394 1 43424531 43629845 205315 -1 ENSG00000117394 -1 ENSG00000117395
ENSG00000117395 1 43736608 43824625 88018 -1 ENSG00000117395 1 ENSG00000117399
ENSG00000117399 1 43828875 43829067 193 1 ENSG00000117399 -1 ENSG00000066322
ENSG00000066322 1 43833697 43849587 15891 -1 ENSG00000066322 -1 ENSG00000159479
ENSG00000159479 1 43855480 43916823 61344 -1 ENSG00000159479 -1 ENSG00000178922
ENSG00000178922 1 43919661 43990857 71197 -1 ENSG00000178922 1 ENSG00000142949
ENSG00000142949 1 44089344 44115828 26485 1 ENSG00000142949 1 ENSG00000066135
ENSG00000066135 1 44171187 44171494 308 1 ENSG00000066135 1 ENSG00000126091
ENSG00000126091 1 44396832 44412610 15779 1 ENSG00000126091 1 ENSG00000117408
ENSG00000117408 1 44433695 44435671 1977 1 ENSG00000117408 1 ENSG00000132768
ENSG00000132768 1 44439042 44440158 1117 1 ENSG00000132768 1 ENSG00000117410
ENSG00000117410 1 44443968 44444614 647 1 ENSG00000117410 1 ENSG00000117411
ENSG00000117411 1 44456841 44457171 331 1 ENSG00000117411 -1 ENSG00000196517
ENSG00000196517 1 44497140 44679126 181987 -1 ENSG00000196517 1 ENSG00000178028
ENSG00000178028 1 44686354 44686741 388 1 ENSG00000178028 -1 ENSG00000117419
ENSG00000117419 1 44820933 44870865 49933 -1 ENSG00000117419 1 ENSG00000187147
ENSG00000187147 1 45117397 45140363 22967 1 ENSG00000187147 1 ENSG00000198520
ENSG00000198520 1 45191264 45205489 14226 1 ENSG00000198520 1 ENSG00000142945
ENSG00000142945 1 45233440 45240922 7483 1 ENSG00000142945 1 ENSG00000142937
ENSG00000142937 1 45244452 45316449 71998 1 ENSG00000142937 -1 ENSG00000070785
ENSG00000070785 1 45452283 45468211 15929 -1 ENSG00000070785 -1 ENSG00000126107
ENSG00000126107 1 45477002 45477818 817 -1 ENSG00000126107 1 ENSG00000126088
ENSG00000126088 1 45481248 45482070 823 1 ENSG00000126088 -1 ENSG00000162415
ENSG00000162415 1 45771882 45792544 20663 -1 ENSG00000162415 1 ENSG00000186603
ENSG00000186603 1 45794348 45805341 10994 1 ENSG00000186603 1 ENSG00000132773
ENSG00000132773 1 45809648 45976707 167060 1 ENSG00000132773 -1 ENSG00000117450
ENSG00000117450 1 45988720 46016214 27495 -1 ENSG00000117450 1 ENSG00000117448
ENSG00000117448 1 46035722 46049517 13796 1 ENSG00000117448 1 ENSG00000132780
